(i, hn[i], current_templature, outcome, outcome_templature) = (2, 76430, 496.58, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (3, 27904, 205.424, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (4, 50268, 339.608, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (5, 73833, 480.998, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (6, 44032, 302.192, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (7, 2233, 51.397999999999996, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (8, 54986, 367.916, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (9, 38658, 269.948, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (10, 75014, 488.084, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (11, 43668, 300.008, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (12, 35059, 248.354, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (13, 40714, 282.284, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (14, 88040, 566.24, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (15, 8556, 89.336, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (16, 52029, 350.174, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (17, 40199, 279.194, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (18, 9127, 92.762, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (19, 9433, 94.598, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (20, 16246, 135.476, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (21, 11706, 108.236, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (22, 88894, 571.364, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (23, 29318, 213.90800000000002, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (24, 55597, 371.582, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (25, 10624, 101.744, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (26, 87407, 562.442, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (27, 59163, 392.978, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (28, 67750, 444.5, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (29, 74895, 487.37, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (30, 37791, 264.746, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (31, 16260, 135.56, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (32, 82696, 534.1759999999999, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (33, 57569, 383.414, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (34, 51320, 345.92, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (35, 42631, 293.786, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (36, 86749, 558.494, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (37, 38031, 266.18600000000004, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (38, 47147, 320.882, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (39, 32219, 231.314, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (40, 42425, 292.55, 1, 40.124)
(i, hn[i], current_templature, outcome, outcome_templature) = (41, 33545, 239.27, 1, 40.124)
